product,category,subcategory,database,abbreviated_database,region,nutritional level,dish
Lemon_chicken,Mixed Food,Mixed Meat,ISIA Food-500,ISIA,INTERNATIONAL,2,Main
Lemon_ice_box_pie,Sweet Products,Pastries,ISIA Food-500,ISIA,INTERNATIONAL,1,Dessert
Lemon_meringue_pie,Sweet Products,Pastries,ISIA Food-500,ISIA,INTERNATIONAL,1,Dessert
Lemon_tart,Sweet Products,Pastries,ISIA Food-500,ISIA,INTERNATIONAL,1,Dessert
Lemonade,Drinks,Vegetable Drinks,ISIA Food-500,ISIA,INTERNATIONAL,3,Drinks
lemons,Fruits,Fruits,FruitVeg-81,FruitVeg81,INTERNATIONAL,5,Dessert
Lentil_soup,Soups and Stews,Stews,ISIA Food-500,ISIA,INTERNATIONAL,4,Main
Lettuce_soup,Soups and Stews,Soups and Creams,ISIA Food-500,ISIA,INTERNATIONAL,4,Main
lightly roasted fish,Fish,Varied Fish,UECFood-256,UECFOOD256,INTERNATIONAL,4,Main
limes,Fruits,Fruits,FruitVeg-81,FruitVeg81,INTERNATIONAL,5,Dessert
Lo_mein,Noodle and Pasta,Noodle,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,6,Main
lobster_bisque,Soups and Stews,Soups and Creams,Food-101,Food101,INTERNATIONAL,4,Main
Lobster_bisque,Soups and Stews,Soups and Creams,ISIA Food-500,ISIA,INTERNATIONAL,4,Main
lobster_roll_sandwich,Sandwich and Similar Products,Sandwich,Food-101,Food101,INTERNATIONAL,3,Main
loco moco,Mixed Food,Mixed Food,UECFood-256,UECFOOD256,NORTH AMERICA,3,Main
Lohikeitto,Soups and Stews,Soups and Creams,ISIA Food-500,ISIA,EUROPE,4,Main
lumpia,Mixed Food,Fried Food,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,2,Main
mac_and_cheese,Noodle and Pasta,Italian Pasta,VIPER-FoodNet,VIPER,INTERNATIONAL,6,Main
Macaron,Sweet Products,Pastries,ISIA Food-500,ISIA,EUROPE,1,Dessert
macaroni salad,Noodle and Pasta,Italian Pasta,UECFood-256,UECFOOD256,INTERNATIONAL,6,Main
macaroni_and_cheese,Noodle and Pasta,Italian Pasta,Food-101,Food101,INTERNATIONAL,6,Main
macarons,Sweet Products,Pastries,Food-101,Food101,EUROPE,1,Dessert
malai_kofta,Mixed Food,Mixed Vegetables,MAFood-121,MAFood121,CENTRAL ASIA,5,Main
malasada,Sweet Products,Pastries,UECFood-256,UECFOOD256,EUROPE,1,Dessert
mango pudding,Sweet Products,Fruit Dessert,UECFood-256,UECFOOD256,INTERNATIONAL,1,Dessert
