product,category,subcategory,database,abbreviated_database,region,nutritional level,dish
Mission_burrito,Sandwich and Similar Products,Wrap,ISIA Food-500,ISIA,NORTH AMERICA,3,Main
mixed rice,Rice,Rice,UECFood-256,UECFOOD256,INTERNATIONAL,6,Main
Mongolian_beef,Mixed Food,Mixed Meat,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,2,Main
moon cake,Sweet Products,Pastries,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,1,Dessert
moussaka,Mixed Food,Meat and Vegetables,MAFood-121,MAFood121,INTERNATIONAL,3,Main
Mousse,Sweet Products,Other Sweet Products,ISIA Food-500,ISIA,INTERNATIONAL,1,Dessert
mozuku,Mixed Food,Mixed Food,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,3,Main
Mozzarella_sticks,Dairy Products,Fried Dairy Products,ISIA Food-500,ISIA,INTERNATIONAL,3,Main
muffin,Sweet Products,Pastries,UECFood-256,UECFOOD256,INTERNATIONAL,1,Dessert
muffin,Sweet Products,Pastries,VIPER-FoodNet,VIPER,INTERNATIONAL,1,Dessert
mushroom risotto,Rice,Rice,UECFood-256,UECFOOD256,INTERNATIONAL,6,Main
Mushroom_gravy,Mixed Food,Mixed Vegetables,ISIA Food-500,ISIA,INTERNATIONAL,5,Main
mushrooms,Vegetables,Mushrooms,FruitVeg-81,FruitVeg81,INTERNATIONAL,5,Main
Mushy_peas,Soups and Stews,Soups and Creams,ISIA Food-500,ISIA,EUROPE,4,Main
mussels,Seafood,Mollusk,Food-101,Food101,INTERNATIONAL,4,Main
Mutton_handi,Mixed Food,Mixed Meat,ISIA Food-500,ISIA,CENTRAL ASIA,2,Main
Mutton_korma,Mixed Food,Mixed Meat,ISIA Food-500,ISIA,CENTRAL ASIA,2,Main
naan,Bread and Similar Products,Bread,MAFood-121,MAFood121,CENTRAL ASIA,6,Bread
nachos,Mixed Food,Mixed Food,Food-101,Food101,LATIN AMERICA AND THE CARIBBEAN,3,Main
Nachos,Mixed Food,Mixed Food,ISIA Food-500,ISIA,LATIN AMERICA AND THE CARIBBEAN,3,Main
nachos,Mixed Food,Mixed Food,UECFood-256,UECFOOD256,LATIN AMERICA AND THE CARIBBEAN,3,Main
Naengmyeon,Noodle and Pasta,Noodle,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,6,Main
namero,Mixed Food,Mixed Food,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,3,Main
nanbanzuke,Mixed Food,Mixed Fish,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,4,Main
nasi campur,Mixed Food,Mixed Rice,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,6,Main
nasi goreng,Mixed Food,Mixed Rice,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,6,Main
nasi padang,Mixed Food,Mixed Rice,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,6,Main
nasi uduk,Mixed Food,Mixed Rice,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,6,Main
Nasi_goreng,Mixed Food,Mixed Rice,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,6,Main
Nasi_kuning,Mixed Food,Mixed Rice,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,6,Main
Nasi_liwet,Mixed Food,Mixed Rice,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,6,Main
natto,Beans,Cooked Beans,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,4,Main
Nattō,Beans,Cooked Beans,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,4,Main
nectarines,Fruits,Fruits,FruitVeg-81,FruitVeg81,INTERNATIONAL,5,Dessert
Noodle_soup,Noodle and Pasta,Noodle,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,6,Main
noodles with fish curry,Noodle and Pasta,Noodle,UECFood-256,UECFOOD256,INTERNATIONAL,6,Main
Nuomici,Sweet Products,Pastries,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,1,Dessert
oatmeal,Sweet Products,Pastries,UECFood-256,UECFOOD256,INTERNATIONAL,1,Dessert
oden,Mixed Food,Mixed Food,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,3,Main
okinawa soba,Noodle and Pasta,Noodle,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,6,Main
Okinawa_soba,Noodle and Pasta,Noodle,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,6,Main
Olivier_salad,Mixed Food,Mixed Food,ISIA Food-500,ISIA,INTERNATIONAL,3,Main
omelet,Eggs,Eggs,UECFood-256,UECFOOD256,INTERNATIONAL,4,Main
omelet,Eggs,Eggs,VIPER-FoodNet,VIPER,INTERNATIONAL,4,Main
omelet with fried rice,Mixed Food,Mixed Food,UECFood-256,UECFOOD256,INTERNATIONAL,3,Main
omelette,Eggs,Eggs,Food-101,Food101,INTERNATIONAL,4,Main
Onigiri,Mixed Food,Mixed Rice,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,6,Main
Onion_ring,Vegetables,Fried Vegetables,ISIA Food-500,ISIA,INTERNATIONAL,4,Main
onion_rings,Vegetables,Fried Vegetables,Food-101,Food101,INTERNATIONAL,4,Main
onions,Vegetables,Fresh Vegetables,FruitVeg-81,FruitVeg81,INTERNATIONAL,5,Main
Orange_chicken,Mixed Food,Mixed Meat,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,2,Main
oranges,Fruits,Fruits,FruitVeg-81,FruitVeg81,INTERNATIONAL,5,Dessert
oshiruko,Sweet Products,Other Sweet Products,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,1,Dessert
oxtail soup,Soups and Stews,Soups and Creams,UECFood-256,UECFOOD256,INTERNATIONAL,4,Main
oyster omelette,Mixed Food,Mixed Eggs,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,4,Main
Oyster_omelette,Mixed Food,Mixed Eggs,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,4,Main
oysters,Seafood,Mollusk,Food-101,Food101,INTERNATIONAL,4,Main
Oysters_Rockefeller,Seafood,Mollusk,ISIA Food-500,ISIA,NORTH AMERICA,4,Main
Pączki,Sweet Products,Pastries,ISIA Food-500,ISIA,EUROPE,1,Dessert
pad_thai,Noodle and Pasta,Noodle,Food-101,Food101,EAST AND SOUTHEAST ASIA,6,Main
paella,Mixed Food,Mixed Rice,Food-101,Food101,EUROPE,6,Main
Paella,Mixed Food,Mixed Rice,ISIA Food-500,ISIA,EUROPE,6,Main
paella,Mixed Food,Mixed Rice,UECFood-256,UECFOOD256,EUROPE,6,Main
Pakora,Vegetables,Fried Vegetables,ISIA Food-500,ISIA,CENTRAL ASIA,4,Main
palak_paneer,Soups and Stews,Soups and Creams,MAFood-121,MAFood121,CENTRAL ASIA,4,Main
pancake,Sweet Products,Pastries,UECFood-256,UECFOOD256,INTERNATIONAL,1,Dessert
pancake,Sweet Products,Pastries,VIPER-FoodNet,VIPER,INTERNATIONAL,1,Dessert
pancakes,Sweet Products,Pastries,Food-101,Food101,INTERNATIONAL,1,Dessert
paneer_tikka,Mixed Food,Mixed Vegetables,MAFood-121,MAFood121,CENTRAL ASIA,5,Main
panna_cotta,Sweet Products,Dairy Dessert,Food-101,Food101,EUROPE,1,Dessert
Panzanella,Salad,Other Types of Salad,ISIA Food-500,ISIA,EUROPE,3,Main
papdi_chaat,Mixed Food,Mixed Food,MAFood-121,MAFood121,CENTRAL ASIA,3,Main
Pappa_al_pomodoro,Soups and Stews,Soups and Creams,ISIA Food-500,ISIA,EUROPE,4,Main
parfait,Sweet Products,Fruit Dessert,UECFood-256,UECFOOD256,EUROPE,1,Dessert
Parmigiana,Mixed Food,Mixed Vegetables,ISIA Food-500,ISIA,EUROPE,5,Main
passion_fruits,Fruits,Fruits,FruitVeg-81,FruitVeg81,INTERNATIONAL,5,Dessert
Pasta,Noodle and Pasta,Italian Pasta,ISIA Food-500,ISIA,INTERNATIONAL,6,Main
pasta,Noodle and Pasta,Italian Pasta,VIPER-FoodNet,VIPER,INTERNATIONAL,6,Main
Pasta_al_pomodoro,Noodle and Pasta,Italian Pasta,ISIA Food-500,ISIA,EUROPE,6,Main
Pasta_alla_Norma,Noodle and Pasta,Italian Pasta,ISIA Food-500,ISIA,EUROPE,6,Main
Pasteis_de_Bacalhau,Fish,Fried or Breaded Fish,ISIA Food-500,ISIA,EUROPE,3,Main
pastitsio,Noodle and Pasta,Italian Pasta,MAFood-121,MAFood121,EUROPE,6,Main
Paupiette,Mixed Food,Mixed Meat,ISIA Food-500,ISIA,EUROPE,2,Main
Payasam,Sweet Products,Dairy Dessert,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,1,Dessert
Pea_soup,Soups and Stews,Soups and Creams,ISIA Food-500,ISIA,EUROPE,4,Main
peaches,Fruits,Fruits,FruitVeg-81,FruitVeg81,INTERNATIONAL,5,Dessert
Peanut_butter_cookie,Sweet Products,Pastries,ISIA Food-500,ISIA,INTERNATIONAL,1,Dessert
Peanut_soup,Soups and Stews,Soups and Creams,ISIA Food-500,ISIA,INTERNATIONAL,4,Main
pears,Fruits,Fruits,FruitVeg-81,FruitVeg81,INTERNATIONAL,5,Dessert
peking_duck,Meat,Red Meat,Food-101,Food101,EAST AND SOUTHEAST ASIA,2,Main
peppers,Vegetables,Fresh Vegetables,FruitVeg-81,FruitVeg81,INTERNATIONAL,5,Main
pho,Noodle and Pasta,Noodle,Food-101,Food101,EAST AND SOUTHEAST ASIA,6,Main
Pho,Noodle and Pasta,Noodle,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,6,Main
pho,Noodle and Pasta,Noodle,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,6,Main
Pickled_cucumber,Salty Snacks,Vegetable Snacks,ISIA Food-500,ISIA,INTERNATIONAL,1,Snack
Pig's_ear,Meat,Varied Meat,ISIA Food-500,ISIA,INTERNATIONAL,2,Main
Pig's_organ_soup,Soups and Stews,Soups and Creams,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,4,Main
Pig's_trotters,Meat,Varied Meat,ISIA Food-500,ISIA,INTERNATIONAL,2,Main
pilaf,Rice,Rice,UECFood-256,UECFOOD256,INTERNATIONAL,6,Main
Pineapple_tart,Sweet Products,Pastries,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,1,Dessert
pineapples,Fruits,Fruits,FruitVeg-81,FruitVeg81,INTERNATIONAL,5,Dessert
Pipikaula,Mixed Food,Mixed Meat,ISIA Food-500,ISIA,NORTH AMERICA,2,Main
pitayas,Fruits,Fruits,FruitVeg-81,FruitVeg81,INTERNATIONAL,5,Dessert
pizza,Fast Food,Pizza,Food-101,Food101,INTERNATIONAL,1,Main
pizza,Fast Food,Pizza,UECFood-256,UECFOOD256,INTERNATIONAL,1,Main
pizza,Fast Food,Pizza,VIPER-FoodNet,VIPER,INTERNATIONAL,1,Main
pizza toast,Fast Food,Pizza,UECFood-256,UECFOOD256,INTERNATIONAL,1,Main
Pizza_carbonara,Fast Food,Pizza,ISIA Food-500,ISIA,INTERNATIONAL,1,Main
Pizza_pugliese,Fast Food,Pizza,ISIA Food-500,ISIA,INTERNATIONAL,1,Main
Plateau_de_fruits_de_mer,Seafood,Varied Seafood,ISIA Food-500,ISIA,INTERNATIONAL,4,Main
Plum_cake,Sweet Products,Pastries,ISIA Food-500,ISIA,INTERNATIONAL,1,Dessert
plums,Fruits,Fruits,FruitVeg-81,FruitVeg81,INTERNATIONAL,5,Dessert
pomegranates,Fruits,Fruits,FruitVeg-81,FruitVeg81,INTERNATIONAL,5,Dessert
Pommes_dauphine,Mixed Food,Fried Food,ISIA Food-500,ISIA,EUROPE,2,Main
Poori,Bread and Similar Products,Other Types of Bread,ISIA Food-500,ISIA,CENTRAL ASIA,3,Appetizer
popcorn,Salty Snacks,Bean Snacks,UECFood-256,UECFOOD256,INTERNATIONAL,1,Snack
Porchetta,Meat,Varied Meat,ISIA Food-500,ISIA,EUROPE,2,Main
pork belly,Meat,Varied Meat,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,2,Main
pork cutlet,Meat,Breaded Meat,UECFood-256,UECFOOD256,INTERNATIONAL,2,Main
pork cutlet on rice,Mixed Food,Rice and Meat,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,3,Main
pork fillet cutlet,Mixed Food,Mixed Meat,UECFood-256,UECFOOD256,INTERNATIONAL,2,Main
pork loin cutlet,Mixed Food,Mixed Meat,UECFood-256,UECFOOD256,INTERNATIONAL,2,Main
pork miso soup,Soups and Stews,Soups and Creams,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,4,Main
pork satay,Meat,Varied Meat,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,2,Main
Pork Sticky Noodles,Noodle and Pasta,Noodle,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,6,Main
Pork with lemon,Mixed Food,Mixed Meat,UECFood-256,UECFOOD256,INTERNATIONAL,2,Main
Pork_ball,Mixed Food,Mixed Meat,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,2,Main
Pork_blood_soup,Soups and Stews,Soups and Creams,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,4,Main
pork_chop,Meat,Varied Meat,Food-101,Food101,INTERNATIONAL,2,Main
pork_chop,Meat,Varied Meat,VIPER-FoodNet,VIPER,INTERNATIONAL,2,Main
Pork_knuckle,Meat,Varied Meat,ISIA Food-500,ISIA,INTERNATIONAL,2,Main
Pork_Knuckles_and_Ginger_Stew,Mixed Food,Mixed Meat,ISIA Food-500,ISIA,INTERNATIONAL,2,Main
pork_rib,Meat,Varied Meat,VIPER-FoodNet,VIPER,INTERNATIONAL,2,Main
Pork_ribs,Meat,Varied Meat,ISIA Food-500,ISIA,INTERNATIONAL,2,Main
Pork_tenderloin,Meat,Varied Meat,ISIA Food-500,ISIA,INTERNATIONAL,2,Main
pot au feu,Mixed Food,Meat and Vegetables,UECFood-256,UECFOOD256,EUROPE,3,Main
Pot_roast,Mixed Food,Mixed Meat,ISIA Food-500,ISIA,INTERNATIONAL,2,Main
potage,Soups and Stews,Soups and Creams,UECFood-256,UECFOOD256,INTERNATIONAL,4,Main
potato salad,Vegetables,Cooked Vegetables,UECFood-256,UECFOOD256,INTERNATIONAL,5,Main
Potato_salad,Vegetables,Cooked Vegetables,ISIA Food-500,ISIA,INTERNATIONAL,5,Main
potatoes,Vegetables,Fresh Vegetables,FruitVeg-81,FruitVeg81,INTERNATIONAL,5,Main
poutine,Fast Food,Fries,Food-101,Food101,NORTH AMERICA,1,Side
Poutine,Fast Food,Fries,ISIA Food-500,ISIA,NORTH AMERICA,1,Side
pozole,Soups and Stews,Soups and Creams,MAFood-121,MAFood121,LATIN AMERICA AND THE CARIBBEAN,4,Main
Prawn_cocktail,Mixed Food,Mixed Seafood,ISIA Food-500,ISIA,INTERNATIONAL,4,Main
Prawn_soup,Soups and Stews,Soups and Creams,ISIA Food-500,ISIA,INTERNATIONAL,4,Main
prime_rib,Meat,Red Meat,Food-101,Food101,INTERNATIONAL,2,Main
Princess_cake,Sweet Products,Pastries,ISIA Food-500,ISIA,EUROPE,1,Dessert
Profiterole,Sweet Products,Pastries,ISIA Food-500,ISIA,INTERNATIONAL,1,Dessert
Pudding_corn,Sweet Products,Other Sweet Products,ISIA Food-500,ISIA,INTERNATIONAL,1,Dessert
Pulled_pork,Mixed Food,Mixed Meat,ISIA Food-500,ISIA,INTERNATIONAL,2,Main
Pumpkin_bread,Sweet Products,Pastries,ISIA Food-500,ISIA,NORTH AMERICA,1,Dessert
Pumpkin_pie,Sweet Products,Pastries,ISIA Food-500,ISIA,NORTH AMERICA,1,Dessert
pumpkins,Vegetables,Fresh Vegetables,FruitVeg-81,FruitVeg81,INTERNATIONAL,5,Main
Quesadilla,Sandwich and Similar Products,Wrap,ISIA Food-500,ISIA,LATIN AMERICA AND THE CARIBBEAN,3,Main
quesadilla,Sandwich and Similar Products,Wrap,VIPER-FoodNet,VIPER,LATIN AMERICA AND THE CARIBBEAN,3,Main
Queso_flameado,Mixed Food,Mixed Food,ISIA Food-500,ISIA,LATIN AMERICA AND THE CARIBBEAN,3,Main
Quiche_Lorraine,Mixed Food,Mixed Food,ISIA Food-500,ISIA,EUROPE,3,Main
Rack_of_lamb,Meat,Red Meat,ISIA Food-500,ISIA,INTERNATIONAL,2,Main
radishes,Vegetables,Fresh Vegetables,FruitVeg-81,FruitVeg81,INTERNATIONAL,5,Main
raisin bread,Sweet Products,Pastries,UECFood-256,UECFOOD256,EUROPE,1,Dessert
Raita,Mixed Food,Sauce,ISIA Food-500,ISIA,CENTRAL ASIA,1,Snack
ramen,Noodle and Pasta,Noodle,Food-101,Food101,EAST AND SOUTHEAST ASIA,6,Main
Ramen,Noodle and Pasta,Noodle,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,6,Main
ramen noodle,Noodle and Pasta,Noodle,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,6,Main
rare cheese cake,Sweet Products,Pastries,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,1,Dessert
ratatouille,Vegetables,Cooked Vegetables,MAFood-121,MAFood121,EUROPE,5,Main
ravioli,Noodle and Pasta,Italian Pasta,Food-101,Food101,EUROPE,6,Main
Red_bean_cake,Sweet Products,Pastries,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,1,Dessert
Red_bean_ice,Sweet Products,Dairy Dessert,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,1,Dessert
Red_beans_and_rice,Mixed Food,Rice and Beans,ISIA Food-500,ISIA,INTERNATIONAL,4,Main
red_beet,Vegetables,Fresh Vegetables,FruitVeg-81,FruitVeg81,INTERNATIONAL,5,Main
Red_slaw,Salad,Other Types of Salad,ISIA Food-500,ISIA,INTERNATIONAL,3,Main
red_velvet_cake,Sweet Products,Pastries,Food-101,Food101,INTERNATIONAL,1,Dessert
red_wine,Drinks,Alcoholic Drinks,VIPER-FoodNet,VIPER,INTERNATIONAL,2,Drinks
Refried_beans,Beans,Cooked Beans,ISIA Food-500,ISIA,LATIN AMERICA AND THE CARIBBEAN,4,Main
Rendang,Mixed Food,Mixed Meat,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,2,Main
rice,Rice,Rice,UECFood-256,UECFOOD256,INTERNATIONAL,6,Main
rice ball,Mixed Food,Mixed Rice,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,6,Main
Rice crispy pork,Mixed Food,Rice and Meat,UECFood-256,UECFOOD256,INTERNATIONAL,3,Main
rice gratin,Mixed Food,Mixed Food,UECFood-256,UECFOOD256,INTERNATIONAL,3,Main
rice gruel,Mixed Food,Mixed Rice,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,6,Main
rice vermicelli,Noodle and Pasta,Noodle,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,6,Main
Rice with roast duck,Mixed Food,Rice and Meat,UECFood-256,UECFOOD256,INTERNATIONAL,3,Main
Rice_and_peas,Mixed Food,Rice and Beans,ISIA Food-500,ISIA,INTERNATIONAL,4,Main
Rice_ball,Mixed Food,Mixed Rice,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,6,Main
Rice_cakes,Mixed Food,Mixed Rice,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,6,Main
Rice_pudding,Sweet Products,Dairy Dessert,ISIA Food-500,ISIA,INTERNATIONAL,1,Dessert
risotto,Rice,Rice,Food-101,Food101,EUROPE,6,Main
roast chicken,Meat,White Meat,UECFood-256,UECFOOD256,INTERNATIONAL,4,Main
roast duck,Meat,Red Meat,UECFood-256,UECFOOD256,INTERNATIONAL,2,Main
Rogan_josh,Mixed Food,Mixed Meat,ISIA Food-500,ISIA,CENTRAL ASIA,2,Main
rogan_josh,Mixed Food,Mixed Meat,MAFood-121,MAFood121,CENTRAL ASIA,2,Main
roll bread,Bread and Similar Products,Bread,UECFood-256,UECFOOD256,INTERNATIONAL,6,Bread
Rou_jia_mo,Fast Food,Burger,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,1,Main
Rouladen,Mixed Food,Mixed Meat,ISIA Food-500,ISIA,EUROPE,2,Main
saganaki,Mixed Food,Mixed Food,MAFood-121,MAFood121,EUROPE,3,Main
salade_nicoise,Salad,Other Types of Salad,MAFood-121,MAFood121,EUROPE,3,Main
salads,Salad,Side Dish Salad,FruitVeg-81,FruitVeg81,INTERNATIONAL,5,Side
salmon meuniere,Fish,Varied Fish,UECFood-256,UECFOOD256,INTERNATIONAL,4,Main
Salmon_pie,Mixed Food,Mixed Fish,ISIA Food-500,ISIA,INTERNATIONAL,4,Main
salt & pepper fried shrimp with shell,Seafood,Crustacean,UECFood-256,UECFOOD256,INTERNATIONAL,4,Main
Sambar,Mixed Food,Mixed Beans,ISIA Food-500,ISIA,CENTRAL ASIA,4,Main
Samgyetang,Soups and Stews,Soups and Creams,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,4,Main
samosa,Mixed Food,Fried Food,Food-101,Food101,CENTRAL ASIA,2,Main
Samosa,Mixed Food,Fried Food,ISIA Food-500,ISIA,CENTRAL ASIA,2,Main
samul,Salad,Other Types of Salad,UECFood-256,UECFOOD256,INTERNATIONAL,3,Main
sandwiches,Sandwich and Similar Products,Sandwich,UECFood-256,UECFOOD256,INTERNATIONAL,3,Main
Sapo_tahu,Mixed Food,Mixed Food,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,3,Main
Sardine,Fish,Varied Fish,ISIA Food-500,ISIA,INTERNATIONAL,4,Main
sarma,Mixed Food,Mixed Food,MAFood-121,MAFood121,EUROPE,3,Main
sashimi,Fish,Varied Fish,Food-101,Food101,EAST AND SOUTHEAST ASIA,4,Main
Sashimi,Fish,Varied Fish,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,4,Main
sashimi,Fish,Varied Fish,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,4,Main
sashimi bowl,Mixed Food,Mixed Food,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,3,Main
Sauerbraten,Mixed Food,Mixed Meat,ISIA Food-500,ISIA,EUROPE,2,Main
sausage,Meat,Sausage,UECFood-256,UECFOOD256,INTERNATIONAL,2,Main
Sausage_and_peppers,Mixed Food,Meat and Vegetables,ISIA Food-500,ISIA,INTERNATIONAL,3,Main
Sausage_bun,Fast Food,Hot Dog,ISIA Food-500,ISIA,INTERNATIONAL,1,Main
Sausage_roll,Mixed Food,Stuffed Dough,ISIA Food-500,ISIA,INTERNATIONAL,2,Main
Sausage_sandwich,Sandwich and Similar Products,Sandwich,ISIA Food-500,ISIA,INTERNATIONAL,3,Main
sauteed spinach,Vegetables,Cooked Vegetables,UECFood-256,UECFOOD256,INTERNATIONAL,5,Main
sauteed vegetables,Mixed Food,Mixed Vegetables,UECFood-256,UECFOOD256,INTERNATIONAL,5,Main
Sauteed_mushrooms,Vegetables,Fried Vegetables,ISIA Food-500,ISIA,INTERNATIONAL,4,Main
scallops,Seafood,Mollusk,Food-101,Food101,INTERNATIONAL,4,Main
Scampi,Mixed Food,Mixed Seafood,ISIA Food-500,ISIA,INTERNATIONAL,4,Main
Schweinshaxe,Meat,Varied Meat,ISIA Food-500,ISIA,EUROPE,2,Main
scone,Sweet Products,Pastries,UECFood-256,UECFOOD256,INTERNATIONAL,1,Dessert
scrambled egg,Eggs,Eggs,UECFood-256,UECFOOD256,INTERNATIONAL,4,Main
Seafood_boil,Mixed Food,Mixed Seafood,ISIA Food-500,ISIA,INTERNATIONAL,4,Main
Seafood_pizza,Fast Food,Pizza,ISIA Food-500,ISIA,INTERNATIONAL,1,Main
seasoned beef with potatoes,Mixed Food,Meat and Vegetables,UECFood-256,UECFOOD256,INTERNATIONAL,3,Main
seaweed_salad,Salad,Other Types of Salad,Food-101,Food101,EAST AND SOUTHEAST ASIA,3,Main
Sesame_chicken,Meat,White Meat,ISIA Food-500,ISIA,INTERNATIONAL,4,Main
Shaker_Lemon_Pie,Sweet Products,Pastries,ISIA Food-500,ISIA,NORTH AMERICA,1,Dessert
Shanghai_fried_noodles,Noodle and Pasta,Noodle,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,6,Main
She-crab_soup,Soups and Stews,Soups and Creams,ISIA Food-500,ISIA,INTERNATIONAL,4,Main
Sheep's_trotters,Meat,Red Meat,ISIA Food-500,ISIA,INTERNATIONAL,2,Main
shortcake,Sweet Products,Pastries,UECFood-256,UECFOOD256,INTERNATIONAL,1,Dessert
shrimp,Mixed Food,Mixed Seafood,VIPER-FoodNet,VIPER,INTERNATIONAL,4,Main
Shrimp patties,Mixed Food,Mixed Seafood,UECFood-256,UECFOOD256,INTERNATIONAL,4,Main
shrimp with chill source,Mixed Food,Mixed Seafood,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,4,Main
shrimp_and_grits,Mixed Food,Mixed Seafood,Food-101,Food101,NORTH AMERICA,4,Main
Shrimp_ball,Mixed Food,Mixed Seafood,ISIA Food-500,ISIA,INTERNATIONAL,4,Main
Shrimp_toast,Bread and Similar Products,Toast,ISIA Food-500,ISIA,INTERNATIONAL,3,Dessert
Shuizhu,Mixed Food,Mixed Meat,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,2,Main
Sicilian_orange_salad,Salad,Other Types of Salad,ISIA Food-500,ISIA,EUROPE,3,Main
simmered pork,Meat,Varied Meat,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,2,Main
sirloin cutlet,Meat,Breaded Meat,UECFood-256,UECFOOD256,INTERNATIONAL,2,Main
Sliced_fish_soup,Soups and Stews,Soups and Creams,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,4,Main
Small steamed savory rice pancake,Mixed Food,Mixed Food,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,3,Main
Smoked_salmon,Fish,Varied Fish,ISIA Food-500,ISIA,INTERNATIONAL,4,Main
Soba,Noodle and Pasta,Noodle,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,6,Main
soba noodle,Noodle and Pasta,Noodle,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,6,Main
Soft-shell_crab,Mixed Food,Mixed Seafood,ISIA Food-500,ISIA,INTERNATIONAL,4,Main
Sopa_de_Mandioca,Soups and Stews,Soups and Creams,ISIA Food-500,ISIA,LATIN AMERICA AND THE CARIBBEAN,4,Main
soup,Soups and Stews,Soups and Creams,VIPER-FoodNet,VIPER,INTERNATIONAL,4,Main
Sour prawn soup,Soups and Stews,Soups and Creams,UECFood-256,UECFOOD256,INTERNATIONAL,4,Main
Soused_herring,Fish,Varied Fish,ISIA Food-500,ISIA,INTERNATIONAL,4,Main
souvlaki,Mixed Food,Meat and Vegetables,MAFood-121,MAFood121,EUROPE,3,Main
spaghetti,Noodle and Pasta,Italian Pasta,UECFood-256,UECFOOD256,INTERNATIONAL,6,Main
spaghetti meat sauce,Noodle and Pasta,Italian Pasta,UECFood-256,UECFOOD256,INTERNATIONAL,6,Main
spaghetti_bolognese,Noodle and Pasta,Italian Pasta,Food-101,Food101,INTERNATIONAL,6,Main
spaghetti_carbonara,Noodle and Pasta,Italian Pasta,Food-101,Food101,INTERNATIONAL,6,Main
spam musubi,Mixed Food,Mixed Food,UECFood-256,UECFOOD256,NORTH AMERICA,3,Main
spanakopita,Mixed Food,Pie,MAFood-121,MAFood121,EUROPE,2,Main
Spanish_rice,Mixed Food,Mixed Rice,ISIA Food-500,ISIA,EUROPE,6,Main
